title	Law school
question	Should I go to law school?
headline_1	Opportunities: Does going to law school expand opportunities?
pro_1_11	Law school is better than most alternatives	 Law school is better than most alternatives 0ls/#comments Comment on Above the Law: "even if you look at it as an over-priced lottery ticket, it still beats the alternative. What the hell do you do with an English degree anyway? Or a History degree? Or any one of the dozens of useless bachelors degrees out there? Not much of anything."
pro_1_12	Many lawyers break free with own practices, firms	 Many lawyers break free with own practices, firms 
pro_1_13	JD is best degree for advancing career in govt/leg	 JD is best degree for advancing career in govt/leg
pro_1_14	Lawyers belong to a kind of club of other lawyers	 Lawyers belong to a kind of club of other lawyers  
pro_1_15	Broad overview of pros of being a lawyer	 Broad overview of pros of being a lawyer 
con_1_1	J.D. is not all purpose degree; it's for lawyers	 J.D. is not "all purpose" degree; it's for lawyers "Should You Go to Law School? Not Unless You Want To Be a Lawyer." Wronging Rights. January 22, 2009: "I know that you have heard that a J.D. is a 'great all-purpose degree,' but it isn't. That's a lie put about by parents who are trying to trick you into middle-class professionaldom and law schools who are trying to take your money. A J.D. is not an all-purpose degree, it is a law degree. It does not qualify you to become a diplomat, a 'senior policy advisor' to anything, a politician, a banker, an aid worker, a political operative, or any of those other jobs that seem like they might be a fun way to satisfy your West Wing fantasies. It qualifies you to be a lawyer, and it doesn't really even do that -there's still the pesky matter of the bar exam."
con_1_2	If you don't want to be a lawyer, don't go to law school	 If you don't want to be a lawyer, don't go to law school "Should You Go to Law School? Not Unless You Want To Be a Lawyer." Wronging Rights. January 22, 2009: "I loved law school, and I am incredibly glad that I decided to go. [...But] when [people] ask me if they should go to law school, and why they are surprised when, instead, my response is: 'Well, do you want to be a lawyer?,' and then 'no' if they tell me that they don't. [...] I know that you have heard that a J.D. is a 'great all-purpose degree,' but it isn't. That's a lie put about by parents who are trying to trick you into middle-class professionaldom and law schools who are trying to take your money. A J.D. is not an all-purpose degree, it is a law degree. It does not qualify you to become a diplomat, a "senior policy advisor" to anything, a politician, a banker, an aid worker, a political operative, or any of those other jobs that seem like they might be a fun way to satisfy your West Wing fantasies. It qualifies you to be a lawyer, and it doesn't really even do that -there's still the pesky matter of the bar exam."
con_1_3	Three years of law school has huge opportunity cost	 Three years of law school has huge opportunity cost Paul Gowder. "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "And not just the debt. But also the massive opportunity cost of three years of your life. Compare this to grad school, where top phd programs tend to be funded. Or to an MBA program which is a year shorter (and sometimes two years shorter). Or to working at something that you might find interesting, where you can learn, build human capital, and get paid, all at once." 
con_1_4	Many lawyers are successful outside of law, but so are others	 Many lawyers are successful outside of law, but so are others "Should You Go to Law School? Not Unless You Want To Be a Lawyer." Wronging Rights. January 22, 2009: "I know: right now you are mentally listing the names of all of the diplomats, senior policy advisors, politicians, bankers, aid workers, and political operatives who have J.D.s. I'm sure it's a long list. Having a law degree certainly doesn't disqualify someone from holding one of those positions. It might even help a little. But it's not a requirement, and it's not the easiest or cheapest way in."
con_1_5	The bar is very hard; you might not pass	 The bar is very hard; you might not pass "Top Ten (10) Reasons Not To Go To Law School." Karemar. July 19th, 2007: "6. THE BAR EXAM IS BRUTAL - This beast is two or three days, depending on your state of hypothetical hypotheticals and nonsensical nonsense questions that you will never be confronted with again in your life let alone career. You will study like an animal for three months, only surfacing from your dungeon to eat and feel some sunlight on your face for one insane exam. Plus, if you fail and 40%of you overall will, you have to do it all over again in six months. That's six months of telling your family and friends that you will pass it next time and you have it all figured out. Don't fail it again as 33% of you will and then become suicidal. $120,000 in school loans, holding off on the $36,000 job and no bar certification. Damn! [...] I failed the California bar on my first attempt and though it was close, the excruciating three months between the first bar and the next bar were brutal. Also, I was overly confident after my first attempt, thus maybe I deserved to be humbled by the almighty bar. Happy to note, that I passed it the second time and thus didn't hit the suicidal mind state."
con_1_6	More competition for fewer law jobs	 More competition for fewer law jobs Yahoo Answers comment by Megatron in 2009: "The legal profession is in crisis. Every year, more and more people graduate from law school, but there are fewer and fewer jobs. Even the largest and most reputable law firms are experiencing unprecedented cutbacks. I don't expect the situation to improve in the coming years. You are better off saving the money you'd pay for law school and invest in a franchise or small business."
con_1_7	Lawyers often have to over-specialize.	Lawyers often have to over-specialize. Lawyers are often focused into very specific areas of the law over time. This makes it difficult to cross over to other fields, see a wide variety of issues, and be opened to a diversity of opportunities outside of that specialization. 
headline_2	Pay: Is legal pay good?
pro_2_1	Law school and lawyering can pay incredibly well	 Law school and lawyering can pay incredibly well Lawyers are some of the highest paid groups of professionals in modern economies. This is because companies and individuals are willing to pay massive sums of money to defend themselves and their interests in and outside of court. A law degree, therefore, offers a great way for an individual to achieve much higher pay, a higher standard of living, and to climb the social ladder for themselves and their family.
pro_2_2	Law school offers chance at high pay; other paths don't.	Law school offers chance at high pay; other paths don't. David Lat. "In Defense of Going to Law School." Above the Law. July 13th, 2010: "Second, it increases the appeal of the possible options after law school. Sure, your chances of landing a $160,000 a year job at a major law firm may be slim. But how many non-legal career paths even given you a viable shot at that kind of pay (and prestige), just three short years down the road?"
pro_2_3	Many do win at law school and with lucrative careers.	Many do "win" at law school and with lucrative careers. David Lat. "In defense of going to law school." Above the Law. July 13th, 2010: "1. If a law degree is like a lottery ticket, remember: some people still win. [...] let’s assume, for the sake of argument, that Biglaw is the pinnacle of the profession, and that your goal in going to law school is to wind up an Am Law 100 or Vault 100 firm, or maybe a National Law Journal 250 firm. Is law school a wise idea? If you go to a highly-ranked law school, then the answer is “probably yes.” As we recently discussed with respect to Cornell Law School, which is #13 in the influential U.S. News rankings, around 40 to 50 percent of their graduates will end up at NLJ 250 law firms. A 50-50 chance of getting a six-figure salary — probably while you’re still in your twenties, in the worst recession that most Americans have ever experienced — is not a bad thing."
pro_2_4	Many non-top-tier law students still win in careers	 Many non-top-tier law students still "win" in careers 
pro_2_5	Law degree empowers individuals to excel in their field	 Law degree empowers individuals to excel in their field "Why Go to Law School?" Kaplan: "Many law school applicants who are already established in careers as news reporters, businesspeople, or even doctors, have found that they need a law degree in order to be more effective or influential in their field. "
pro_2_6	Law degree is a good means of job security	 Law degree is a good means of job security "Why Go to Law School?" Kaplan: "Although there are very few jobs that remain secure in today's economy, the fundamental role that legal systems play in our increasing global working world is striking. Certainly a law degree has become a necessary prerequisite for a great many jobs that could have been done without legal expertise 20 years ago. Your training and skills can allow you to stay employed and prepare you for a variety of situations."
pro_2_7	Law degree helps business people better negotiate deals	 Law degree helps business people better negotiate deals "Why Go to Law School?" Kaplan: "Businesspeople feel that a background in law will enable them to negotiate the deals they encounter in their jobs more effectively."
pro_2_8	Law degree value exceeds lawyer salary	 Law degree value exceeds lawyer salary "Is law school a good investment?" Law Student. July 22nd, 2007: "In short, law school is expensive, but its value far exceeds the mere value of a lawyer’s salary."
pro_2_9	Law firms recovering from 2008-2010 crisis and hiring	 Law firms recovering from 2008-2010 crisis and hiring 
pro_2_10	More corps are hiring law students directly to in-house.	More corps are hiring law students directly to in-house. Vanessa O'Connell. "Cut the law firms, keep the lawyers." Wall Street Journal. August 12th, 2011: "Companies used to depend on elite law firms to train new lawyers they could bring in-house years down the road. Now, some are just doing it themselves, hiring directly from law-school campuses rather than recruiting lawyers who had previously spent a few years at a major firm. These companies are growing weary of paying high hourly rates for inexperienced law-firm associates. Hewlett-Packard Co. was one of the first known companies to bypass law firms in recruiting new lawyers. 'I think it's the wave of the future,' said Michael Holston, H-P's general counsel."
pro_2_11	Local law schools can be ideal for local practice	 Local law schools can be ideal for local practice 
con_2_1	Higher paying law jobs harder, less fulfilling	 Higher paying law jobs harder, less fulfilling Zaring & Henderson, "Young Lawyers in Trouble" (2007)): "We observe that higher firm profitability is associated with higher salaries, bonuses, and prestige. Yet, higher profits also have a statistically significant relationship with longer hours, a less family-friendly workplace, less interesting work, less opportunity to work with partners, less associate training, less communication regarding partnership, and a higher reported likelihood of leaving the firm within the next two years."
con_2_2	Only top-10 law school students get good jobs	 Only top-10 law school students get good jobs "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "3. The Sucker. This is the club for those who don't go to a top ten law school. You get the boring work and the moral difficulty of the corporate serf, with the terrible salary of the do-gooder, because you're working in some small firm doing family law, or criminal law, or wills and trusts, or real estate. [...] The point being that these job options suck. There are boring, immoral jobs that pay better (investment banking). There are moral, low-paying jobs that are more interesting (investigative journalist). There are boring, low-paying (or high-paying!) jobs that are less immoral (foundation fundraiser). Why take the worst of all possible worlds?" 
con_2_3	Lawyers often make far less than they thought they would	 Lawyers often make far less than they thought they would Matthew A. Feldman, a partner at Willkie Farr & Gallagher in New York said to the New York Times in January of 2010: "What has come to pass is that a law degree is not a ticket to a six-figure salary and a six-figure bonus."[1]
con_2_4	Law schools often exaggerate job/salary prospects.	Law schools often exaggerate job/salary prospects. Patrick Lee. "Law Grads Sue Over Tuition." Wall Street Journal. August 11th, 2011: "Two lawsuits seeking class action status were filed in Michigan and New York on Wednesday against Thomas M. Cooley Law School and New York Law School. The plaintiffs, who are graduates of the defendant schools, seek $250 million from Cooley and $200 million from NYLS in tuition refunds as well as other damages and reformed methods of reporting their graduates' employment numbers. The plaintiffs—three against NYLS and four against Cooley—seek "to remedy a systemic, ongoing fraud that is ubiquitous in the legal education industry and threatens to leave a generation of law students in dire financial straits," according to both suits."
con_2_5	Law practice is more saturated and competitive now.	Law practice is more saturated and competitive now. There are more lawyers than ever before. This means that it is harder to find good law jobs, and that the prospects of getting a position at a lower paying firm, or no job at all, is as high as ever.
con_2_6	Weak economy undermines ROI for law degree.	Weak economy undermines ROI for law degree. When the economy is weak, like in 2009 and 2010, law firms often cut back dramatically on their hiring, and/or cut pay.
con_2_7	Short-term law careers undermine law school investment.	Short-term law careers undermine law school "investment." It is not uncommon for attorneys to make major career changes after just five years. This significantly undermines the "investment" of a law degree, as the "investment" is predicated on the idea that one will stay in the law practice for decades. 
con_2_8	Law school is a bad investment	 Law school is a bad investment Herwig Schlunk. "Mamas Don't Let Your Babies Grow Up To Be...Lawyers." Vanderbilt Law and Economics Working Paper. October 30, 2009: "This essay treats a legal education as an investment, and asks the question of whether, based on known costs and expected benefits, such investment should be undertaken. The inquiry will necessarily differ from one potential law student to another. But for three posited “typical students” at private law schools, the investment is shown to generally be a bad one."
headline_3	Debt: Is post law school debt manageable?
pro_3_1	Law degree is a very good investment.	Law degree is a very good investment. A law degree creates major opportunities and offers the opportunity to make significantly more than would otherwise be the case. This makes a law degree a very good investment, which can pay for itself in five to ten years time. In the long-term, this can be a very worthy investment in one self.
pro_3_2	Not everyone incurs significant debts from law school.	Not everyone incurs significant debts from law school. David Lat. "In Defense of Going to Law School." Above the Law. July 13th, 2010: "4. Not everyone graduates with debt (or with as much debt as some people think). I was lucky enough to graduate law school debt-free; my parents paid for my college and law school. And I’m not alone. According to the Law School Survey of Student Engagement (figure 7), over 10 percent of law students will graduate with zero debt, and another 5 percent or so will graduate with less than $20,000 in student loans. So somewhere between 15 and 20 percent of law school graduates leave school with little to no debt — and a valuable professional degree to show for their efforts. There are several reasons why perhaps a fifth of law school graduates have little or no debt. Some have parents, grandparents or spouses who are willing to help out with educational costs. Some have savings from pre-law-school careers, in lucrative fields such as finance or consulting. And some attend reasonably priced state schools and/or receive very generous scholarship money. The dean of one top 25 law school told me earlier this year that about two-thirds of his school’s students receive some form of scholarship aid from the school. [...] So the 'sticker price' of law school, in terms of the cost you see on the law school website or in brochures, can be misleading. Many students aren’t paying full freight — and many of the students who are paying full freight can afford to." 
con_3_1	Debt of law school limits opportunities	 Debt of law school limits opportunities Cameron Strachter wrote in the Wall Street Journal: "Rather than keeping options open, the crushing debt of law school often slams doors shut, pushing law students to find the highest-paying job they can and forever deferring dreams of anything else."[2]
headline_4	Education: Does law school offer valuable educational-experience?
pro_4_1	Law school offers invaluable perspective.	Law school offers invaluable perspective. Jamison Koehler. "On the True Value of a Law Degree." Koehler Law. January 16th, 2011: "Lawyers who went directly to law school from college may not fully appreciate the perspective and skills that law school provides. After all, that’s all they know.  They don’t know what it is like to go through life without legal training.  I do.  While in law school, I would learn something in my constitutional law, tax or corporations class and think:  How could I possibly have survived for the past 40 years without knowing that? I also worked with a lot of lawyers during my first career. Just as a person who never went to college may overestimate what everyone else who went to college may have learned during those four years, I was always somewhat in awe of the people with law degrees. They seemed to speak a language that only they understood."
pro_4_2	Law school educates future leaders.	Law school educates future leaders. Kevin Noble Maillard, law professor at Syracuse University. "It's Not a Trade School." New York Times. July 25, 2011: "It prepares people to become leaders in our society, which makes it imperative that they be rigorously trained as thinkers. They will become stewards of policies that affect our everyday lives: in our schools, our jobs and our families. All of this responsibility, in diverse fields, comes from legal education. As Chris Judge, my student at Syracuse, reminds me, “there are many paths toward becoming a lawyer,” and students and administrators should reject the customer-provider model of education."
pro_4_3	Law school teaches people to think like lawyers.	Law school teaches people to "think like lawyers." Geoffrey Stone. "Learning to think like a lawyer." Room for Debate. July 25th, 2011: "First, and most important, it can teach students to “think like a lawyer.” As any lawyer will tell you, this is critical. The practice of law demands a rigorous, self-critical (and critical), creative and empathic (how will my opponent and the judge see this issue?) mind-set. In general, legal education does this brilliantly. This is at the very core of a legal education."
pro_4_4	Law school and lawyering are about problem solving	 Law school and lawyering are about problem solving 
pro_4_5	Law school educates for wide-ranging careers.	Law school educates for wide-ranging careers. Kevin Noble Maillard, law professor at Syracuse University. "It's Not a Trade School." New York Times. July 25, 2011: "Gone are the days of the gold watch at retirement or the lifelong stint with a single employer. In today’s “real world,” people change jobs, careers and fields. Training students for a specific job may work for the immediate future, but certainly not for a career of service."
pro_4_6	Law school teaches important cases affecting real lives	 Law school teaches important cases affecting real lives 
pro_4_7	Law school teaches intersection of biz, govt, society	 Law school teaches intersection of biz, govt, society Linda Greene, Evjue-Bascom Professor of Law at the University of Wisconsin. "A priceless degree." New York Times Room for Debate. July 25th, 2011: "that a legal education provides an unparalleled opportunity to understand the intersection of private and public power, to explore the rationale for the organization of human society and to participate more knowledgeably and effectively in every aspect of human endeavor."
con_4_1	Law school is extremely hard and time consuming	 Law school is extremely hard and time consuming "Top Ten (10) Reasons Not To Go To Law School." Karemar. July 19th, 2007: "I know that college went by extremely fast, but that was college. Law school is a different beast, with a poor social scene and students who are so competitive that they do not leave the library ever. This time creeps by. Also, breaks are not spent on vacation, however they must be spent improving your resume so that you can get a good job when you graduate. Think of law school as working hard while in school, approximately 70 hours a week only to work during your summers 50 hours a week. They don't want to work you too hard during your summers, because they are ultimately trying to hire you and then force you into their labor force."
con_4_2	Law students are highly stressed and often unhappy	 Law students are highly stressed and often unhappy "Understanding the Negative Effects of Legal Education on Law Students: A Longitudinal Test of Self-Determination Theory." Kennon M. Sheldon, University of Missouri-Columbia. June 1, 2007: "Longitudinal studies suggest that law school has a corrosive effect on the well-being, values, and motivation of students, ostensibly because of its problematic institutional culture. In a 3-year study of two different law schools, the authors applied self-determination theory's (SDT) dynamic process model of thriving to explain such findings."
con_4_3	Law school social scene is minimal	 Law school social scene is minimal "Top Ten (10) Reasons Not To Go To Law School." Karemar. July 19th, 2007: "9. THE SOCIAL SCENE IS PATHETIC - Generally speaking, law school students are competitive, anal, nerds. They certainly are not the guys and girls you had a blast with drinking, dancing and partying all night. Your new friends and classmates will live in the library and will not find much time away from their books."
con_4_4	Final exams in law school are brutal	 Final exams in law school are brutal "Top Ten (10) Reasons Not To Go To Law School." Karemar. July 19th, 2007: "10. FINAL EXAMS ARE BRUTAL - Generally, for most courses, your entire semester grade will depend on one final exam right before Christmas and one final exam right before summer break. Imagine the stress that will ride on your back as you prepare and then await your grade with no indication as to where you stand. Additionally, all your professors will be traveling and unreachable."
headline_5	Public service: Can legal work be a good public service?
pro_5_1	Law schools is a good way to help people.	Law schools is a good way to help people. Many law students are primarily motivated by the prospect of helping people, as attorneys are all about defending people or corporations in court. 
pro_5_2	Lawyers have rewarding role of upholding justice.	Lawyers have rewarding role of upholding justice. Susan Chen. "The Many Benefits Of Being A Lawyer." Ezine Article. November 22, 2006: "as a lawyer, you have the capability to contribute a great deal to society, and perform great social service by bringing offenders to justice and helping the innocent find justice."
pro_5_3	Law schools empowers individuals to make social change	 Law schools empowers individuals to make social change "Why Go to Law School?" Kaplan: "Reporters develop urges to become part of the solution to the widespread social problems they have been chronicling for years [and so consider going to law school as a means to doing so]."
pro_5_4	Lawyers empowered to check large companies, govts.	Lawyers empowered to check large companies, govts. Jamison Koehler. "On the True Value of a Law Degree." Koehler Law. January 16th, 2011: "Other benefits are specific to the area of law you practice.  As a solo practitioner armed only with a legal degree and a deep-seated commitment to the rule of law, my wife has been able to hold multi-national companies accountable for dumping their waste on foreign beaches. She is currently suing the private contractors accountable for human right violations in the Middle East and Asia. I went to one of her hearings a year or so ago to find a scene right out of Erin Brockovich. One side of the room was filled with the defendants, lawyers from three or four different firms, company government relations and press people, and so on.  My wife sat on the other side of the room with an associate, a paralegal or two, and a couple of law students who had been volunteering their time."
pro_5_5	Successfully defending innocent clients is very rewarding.	Successfully defending innocent clients is very rewarding. Jamison Koehler. "On the True Value of a Law Degree." Koehler Law. January 16th, 2011: "For me as a criminal defense attorney, there is nothing more gratifying than the moment in which you walk into the cell block and see the look of relief in your client’s eyes.  There is also that stunned moment of silence after a not guilty verdict has been announced and your client turns to you and says, you mean that’s it, I am free to leave now? Nothing I did in my previous career comes anywhere close to that in terms of sheer satisfaction."
pro_5_6	Lawyers are part of important advocacy system, rule of law	 Lawyers are part of important advocacy system, rule of law "In Defense of Lawyers" By Michael Lee Hanks of Law Office of Michael L. Hanks: "Our legal system was designed as an advocacy system for a simple reason: No other system of law delivers true justice on a consistent basis. An advocacy system requires, by definition, advocates. The only things that prevent a party in a legal dispute from being an effective advocate for his or her position are greed, self interest, lack of objectivity, and ignorance of the law. Thus, lawyers were born."
pro_5_7	Lawyers help reduce conflict and discord in society	 Lawyers help reduce conflict and discord in society "In Defense of Lawyers" Michael Lee Hanks of Law Office of Michael L. Hanks: "rather than creating modern discord, lawyers are key in helping society to avoid it. In the practice of the attorneys with whom I have had the pleasure of working, settlement of a dispute without resort to litigation is considered a success."
con_5_1	Public interest legal jobs are underpaid	 Public interest legal jobs are underpaid "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "2. Underpaid Do-Gooder. You'll work for a public interest outfit. You'll make a pittance -- you might still have roommates (especially if you want to live in a major city). You'd better hope your law school has a good loan forgiveness program. 
con_5_2	Public interest legal work is not much more interesting	 Public interest legal work is not much more interesting "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "the work won't be that much more interesting. Because litigation is still litigation, and contains an outrageous amount of discovery. But now you're in an organization that can't afford paralegals. Who does the dirty work? Who reviews the 12 bankers' boxes of internal procedures from the government agency you're suing for sex discrimination? Yep. You. The low lawyer on the totem pole. At least you'll get to show up in court occasionally." 
con_5_3	Public interest legal work has moral dilemmas too	 Public interest legal work has moral dilemmas too "Why you shouldn't go to law school." Law and Letters. November 15th, 2007: "the work is more interesting. You get to fight for causes in which you believe -- most of the time. But you'll have moral ambiguities here too. Even an ACLU lawyer is sometimes asked to take up causes and clients about which (s)he's not sure." 
con_5_4	Law school is not best way to make social change	 Law school is not best way to make social change Jennifer Fields. "Is Law School for You?": "While lawyers do have the ability to affect change on a case-by-case basis, it is important to realize (as I eventually did) that there is a tremendous amount that lawyers can't change. Deborah Aaron, author of What Can You Do With a Law Degree? A Lawyer's Guide to Career Alternatives Inside, Outside, & Around the Law, emphasizes that law school may not be the best way to make your dream of changing society come true. "It's a very expensive way to contribute," she said. "Law school is so expensive and public interest jobs pay so little that you can't afford to go out and change the world and do good."
con_5_5	Idealistic law students usually find corporate law is only option	 Idealistic law students usually find corporate law is only option Chapter 5 of Derek Bok’s book "Our Underachieving Colleges: A Candid Look at How Much Students Learn and Why They Should Be Learning More.": "For students who begin their legal training hoping to fight for social justice, law school can be a sobering experience. While there, they learn a number of hard truths. Jobs fighting for the environment or civil liberties are very scarce. Defending the poor and powerless turns out to pay remarkably little and often to consist of work that many regard as repetitive and dull. As public interest jobs seem less promising (and law school debts continue to mount), most of these idealistic students end by persuading themselves that a large corporate law firm is the best course to pursue, even though many of them fund the specialties practiced in these firms, such as corporate law, tax law, and real estate law, both uninteresting and unchallenging…."[3]
con_5_6	Lawyers too in debt to advocate for the little guy	 Lawyers too in debt to advocate for the little guy "5 Myths about going to law school." Penelope Trunk's Brazen Careerist. May 16th, 2007: "Myth 4: I'll be able to advocate for the little guy. If you are independently wealthy, you can advocate for the poor, fight for environmental justice, defend civil rights, etc. But if you are like the typical law school graduate today, you will finish with substantial debt. Public interest jobs are too low paying to accommodate a heavy debt burden. Some law schools have a debt-forgiveness program for people going into public interest jobs, but the salaries are so low that they are often hard to manage even in light of debt forgiveness."
headline_6	Happiness: Are lawyers happy?
pro_6_1	High pay of legal profession can add to happiness.	High pay of legal profession can add to happiness. Getting paid well in a law firm can add to one's happiness in a diversity of ways, just as in other professions. It reduces financial stress, makes it possible to do fun and exciting things like travel, makes it possible to provide for your family generously, and creates opportunities to start-up one's own business in the future, make investments, or give money to charitable causes deemed important.
pro_6_2	Always new things to learn as a lawyer.	Always new things to learn as a lawyer. Jamison Koehler. "On the True Value of a Law Degree." Koehler Law. January 16th, 2011: "The potential to learn as a lawyer seems infinite. Things are always changing, and you can never know everything, even within a highly specialized area of the law.   That thought would have intimidated me as a younger man.  Today I find it very reassuring to think that I can practice criminal law for the next thirty years without running out of new things to learn."
pro_6_3	New lawyers can gain credibility/responsibility quickly.	New lawyers can gain credibility/responsibility quickly. Susan Chen. "The Many Benefits Of Being A Lawyer." Ezine Articles. November 22, 2006: "The Legal Profession Pushes You To Your Full Potential. A common misperception towards lawyers in general, not just in the USA but also all over the world, is that younger lawyers are usually not to be trusted with complicated cases. We often tend to gravitate towards older lawyers because we see them as more experienced. People will typically start trusting a young lawyer as he starts earning some credibility from winning some cases. Thus a newbie in the legal profession may proceed a bit slow in the beginning of his career, but after a few success and wins, his career starts gathering momentum."
pro_6_4	Legal arguing/writing can be creative/beautiful.	Legal arguing/writing can be creative/beautiful. Jamison Koehler. "On the True Value of a Law Degree." Koehler Law. January 16th, 2011: "The law can also be a great outlet for creative energy.  When people ask me why I no longer write short stories, I tell them that I haven’t written a line of fiction since I started law school.  The law takes up every bit of creativity that I have. There can be such beauty in a well-written motion or legal opinion. As I often told my father, a well-crafted legal opinion can be more satisfying to read than any work of fiction or poem. I often think of a particular legal opinion – like the Massachusetts decision on gay marriage – the way he might think of a work by John Milton or William Carlos Williams.  You find new meaning in every reading.  You read it and you think, gee, I wish I could write like that."
pro_6_5	Helping clients can be a very rewarding thing.	Helping clients can be a very rewarding thing. Happiness is often a function of one's belief that they are helping their fellow citizens. Lawyers are constantly advocating for and defending their clients, performing an essential and very helpful function in society. This can be very rewarding.
pro_6_6	Lawyers are generally honest, fair people	 Lawyers are generally honest, fair people Michael Lee Hanks of Law Office of Michael L. Hanks. "In Defense of Lawyers." Find Law: "I have practiced law since 1975, or for almost a quarter of a century. I can say without qualification that the overwhelming number of attorneys with whom I have dealt have been honest, fair-minded and ethical people whose word was their bond."
pro_6_7	Many hugely successful people started with a law degree	 Many hugely successful people started with a law degree Hindi Greenberg. "So What Else Can You Do with Your Law Degree?" American Bar Association. July/August 2005: "Lawyers contemplating change are in good company. Consider the following one-time attorneys: Mahatma Gandhi (Inner Temple, London, 1891); Sir Thomas More ( Lincoln’s Inn, London, 1501); Peter Tchaikovsky (School of Jurisprudence, St. Petersburg, 1859); Studs Terkel (University of Chicago, 1934); Fidel Castro (University of Havana, 1950); and Howard Cosell (New York University, 1940). Other former lawyers include the two founders of the California Pizza Kitchen restaurant chain; the founders of Nolo Press, a self-help legal book publisher; and Mortimer Zuckerman, a real estate tycoon and the owner of the magazine U.S. News & World Report."
pro_6_8	Law practice offers constant variety.	Law practice offers constant variety. It offers different clients, cases, situations etc., with a fairly regular turnover. This is in positive contrast to other careers that may require that the employee perform the same task over and over again. Lawyers can shift around from project to project in litigation, and then also shift around in the legal practice itself from litigation, to prosecution, to court cases, to mergers and acquisitions and so forth. 
