title	Polygamy
question	Should marriage to more than one person be legal?
headline_1	Should marriage to more than one person be legal?
headline_2	Marriage/family: Does polygamy conform with principles of marriage/family?
pro_4_8	Polygamy is only appropriate when a man can provide for more than one wife	 Polygamy is only appropriate when a man can provide for more than one wife "Polygamy means to protect, to take care of and maintain the wife. He told one social worker that polygamy was not illicit. But, Srila Prabhupad explained, only if the man is able to maintain his wives. Otherwise, if he cannot maintain another wife, then to want another wife is not actually for protection. Then all he wants is to have sex only. That is irresponsible and thus illicit sex. Even if a man cannot maintain one wife, but has sex with her and gets her pregnant, this is not good. Who will maintain the woman and child? Then it is irresponsible sex, and that is illicit. But, if the man can properly maintain additional wife, then it is not illicit, then it is proper religious marriage, protection, of the women.
pro_4_9	Larger polygamous families are greater financial support networks	 Larger polygamous families are greater financial support networks
pro_4_10	Many women join polygamous families to climb the social ladder.	Many women join polygamous families to climb the social ladder. It is OK for women to join polygamous marriages in order to climb the social ladder. This is often a good way for women to get out of poverty and achieve a greater respect and status in a community.
con_4_1	Polygamist priests convince women that God made them inferior	 Polygamist priests convince women that God made them inferior 
con_4_2	Polygamy ordains men to dominate and abuse wives	 Polygamy ordains men to dominate and abuse wives
con_4_3	Polygamy is abusive in depriving women of the right to consent (above).	Polygamy is abusive in depriving women of the right to consent (above). 
con_4_4	Polygamy is abusive in depriving women of many individual rights (above).	Polygamy is abusive in depriving women of many individual rights (above).
con_4_5	Polygamy makes individual wives feel that they are insufficient	 Polygamy makes individual wives feel that they are insufficient Rabbi Shmuley Boteach. "The Case Against Polygamy". The Huffington Post. April 23, 2008 - "There is good reason to outlaw polygamy. Marriage is the most romantic institution because it establishes the inviolate uniqueness of its participants. A woman is made to feel that she is the one and only to her husband. A husband's devotion confers upon his wife the blessings of primacy and exclusivity. But polygamy subverts that pledge, establishing not a woman's uniqueness, but her ordinariness. Her husband marries her with the express understanding that she alone will not satisfy him. He requires others. She is inadequate.
con_4_6	Polygamy is traumatizing and depressing for wives	 Polygamy is traumatizing and depressing for wives "Legalize Polygamy?". New York Times, letter to the editor. March 14, 2006 - "As a clinical psychologist who has treated women formerly involved in plural marriages, I can attest that the effects on them are devastating: profound depression, post-traumatic stress disorder, sexually transmitted diseases and poverty, among many others."
con_4_7	Polygamy causes jealousy and competition between wives	 Polygamy causes jealousy and competition between wives Andrea Sachs. "Polygamy Survivor Carolyn Jessop". Time. Oct. 24, 2007 - "There was tremendous competition between the wives, wasn't there?
con_4_8	Polygamous men cannot reciprocate equally the love they receive from their wives.	Polygamous men cannot reciprocate equally the love they receive from their wives. Carrying for a wife is about more than supplying her with material needs, something polygamist husbands are frequently capable of doing for their many wives. It is also about more than treating all wives equitably and even "loving" them equitably. It is, rather, about providing a wife with reciprocal attention, love, sexual attention, and feelings of individual value and meaning. This is reflected in the notion of the yin and the yang; parity and complementarity between two partners. A man with even just two wives is incapable of reciprocating equally the love and care he may receive from each of them. He will fall short to some degree with each of wives and violate the notion of reciprocity in marriage. 
con_4_9	Polygamous women do not receive a fair commitment from their husbands	 Polygamous women do not receive a fair commitment from their husbands Marriage is largely about committing to a woman. But, polygamous women discover that men are only making open-ended commitments to their wives that allow for them to make new commitments to new wives. These new commitments undermine or diminish previous commitments.
con_4_10	Older wives suffer when new wives enter a polygamous marriage	  Older wives suffer when new wives enter a polygamous marriage Steve Sailer. "The Problem with Polygamy". United Press International. January 17, 2002 - "I've been following accounts of polygamous societies ever since I saw an article in the early 1980s about a Kenyan man with 150 wives. It set the template for every first-hand description of polygamy that I've read since. The reporter diligently interviewed the youngest wife, who thought polygamy was terrific since it allowed her to marry the richest, handsomest, and most respected man in her village.
con_4_11	Competition between wives for husband's attention erodes the sisterhood	 Competition between wives for husband's attention erodes the sisterhood While a sisterhood can emerge among polygamous women, it is typically undercut by jealousy and competition between them for the attention of their husband. 
con_4_12	Polygamy fosters the spread of venereal diseases	 Polygamy fosters the spread of venereal diseases As a husband has unprotected sex with his many wives, venereal diseases are commonly spread around. 
con_4_13	Polygamy leaves women sexually unsatisfied and prone to adultery	 Polygamy leaves women sexually unsatisfied and prone to adultery Women have strong sex drives; often equally as strong as men. It is difficult for them, therefore, to have to share their husband with other wives, and go many nights and sometimes weeks without sex. Such sex deprivation can create an impulse among polygamous women to seek sex elsewhere in affairs with other men.
con_4_14	Legalizing polygamy will cause all women to worry about husbands pursue new wives	 Legalizing polygamy will cause all women to worry about husbands pursue new wives If polygamy is legalized, does that mean that all existing husbands in monogamous marriages can all of a sudden seek additional wives? If so, this will create great worry among married women.
headline_5	Children: Do children in polygamous families benefit or lose?
pro_5_1	Anti-polygamy police raids traumatize children.	Anti-polygamy police raids traumatize children. Raids by police of polygamous sects, and the division of children from their mothers is a highly traumatizing experience for children. If the interest of the state is to, in part, protect these children, their raids are doing more harm than good.   
pro_5_2	Legalization will allow polygamist to send children to mainstream education.	Legalization will allow polygamist to send children to mainstream education. The illegality of polygamy forces polygamists to live in the shadows of society. In these shadows, children are unable to obtain a proper education. If polygamy is legalized, polygamous families will come out of these shadows and will be able to send their kids to proper schools. 
con_5_1	Polygamous fathers can't give their children adequate attention	 Polygamous fathers can't give their children adequate attention "Should Polygamy Be Legal?--Posner's Comment". The Becker-Posner Blog. October 22, 2006 - "In polygamous households, the father invests less time in the upbringing of his children, because there are more of them."
con_5_2	The children of older wives suffer when new wives enter a polygamous marriage	The children of older wives suffer when new wives enter a polygamous marriage New wives in polygamous families are often the subject of great attention from their husbands. This draws attention away from the children of other wives. And, as new children are born by the new wife, attention is taken away from the other children. Children are aware of this, and respond resentfully to new family members.
con_5_3	Polygamy subjects children to an environment of rivalry and insecurity	 Polygamy subjects children to an environment of rivalry and insecurity Children realize that the attention they receive from their father is conditioned in large part on the presence of other siblings and the nature of their mother's relationship to the father. This builds resentment and competition between siblings, which is unhealthy and potentially dangerous.  
con_5_4	Polygamy forces children into a life they often don't want.	Polygamy forces children into a life they often don't want. The children lose because they are being forced to work and doing things that they don't want to.Some children are being forced either to marry at 14 to their own relative like cousin or even brother. Some girls start having children before the age of 17. Many children are basically not living a normal childhood and are suffering.Some children even try to escape the polygamy world in order to start a new life.
headline_6	Gay marriage: How does gay marriage play into this debate?
con_6_1	Polygamy is not equivalent to gay marriage in nature	 Polygamy is not equivalent to gay marriage in nature 
headline_7	Marriage benefits: Would giving polygamy marriage benefits create problems?
pro_7_1	Any problems with polygamous couples can be remedied.	Any problems with polygamous couples can be remedied. Any legal complications that could arise are either easily remedied or are already being dealt with in the courts for monogamous couples.  The fact of the matter is that the existence of legally recognized polygamous families would not alter the landscape of the nation, its laws, or its people significantly.  Many of the methods that would be used to provide remedies for things like child custody and divorce settlements already exist through the courts, and allowing polygamists to use them, while increasing the workload for civil servants, would cause no excessive burden or force the creation of any new entities to handle them.
con_7_1	Recognizing polygamy would cause a host of legal problems.	Recognizing polygamy would cause a host of legal problems. Regardless of whether polyamorous relationships are appropriate or if it's appropriate for people to have polygamous marriage ceremonies in religious institutions the benefits provided by legally recognized marriage pose serious problems. A group of people, such as a street gang, corrupt public officials, corrupt businessmen, or even a terrorist cell could get legally married to avoid testifying against each other in court. Divorce proceedings would be complicated. Even if just one spouse was getting a divorce since marriage involves sharing property so the court would have to figure out who brought what into the marriage to protect the property of the spouses not getting divorced. Determining child custody would also be difficult. Which spouses are eligible for custody rights? All of them? Just the two that had the child? Any spouse that was in the marriage at the time the child came into their custody? Determining how to divide inheritance would also be complicated. Furthermore it has a greater abuse potential in immigration law than monogamy. A person could bring in thousands of people just by marrying them. This could pose a grave threat to national security, since a terrorist or spy could use this to get his associates into the country easier, and combined with spousal immunity obtaining evidence in order to stop them could prove difficult.
