title	Release of Osama bin Laden death photos
question	
headline_1	Proof: Will photos help prove Osama's death, squelch conspiracy theories?
con_2_11	Withholding photos shows US as being respectful.	Withholding photos shows US as being respectful. Erin Valois. "Post Primer: The aftermath of the bin Laden photos." The National Post. May 5th, 2011: "There is nothing wrong with Obama wanting the U.S. to be remembered as respectful during an unforgettable moment in American history."
con_2_12	Bin Laden photos will only worsen America's image abroad.	Bin Laden photos will only worsen America's image abroad. Marc Ambinder and Matthew Cooper. "Why Obama Nixed the Photo Release." National Journal. May 5th, 2011: "the administration likely bet that the last image of bin Laden would be the most enduring: a grotesquerie, an Arab man—albeit a murderous one—felled by a Western bullet. Is that really going to enhance America abroad? No, the president decided."
con_2_13	Withholding Osama photos responsibly weighs foreign reaction	 Withholding Osama photos responsibly weighs foreign reaction 
headline_3	Gruesome: Are the photos tolerable to look at?
pro_3_1	Bin Laden photos could not be too gruesome for nation/world.	Bin Laden photos could not be too gruesome for nation/world. Eric Golub. "Mr. Obama, release the bin Laden photos." The Washington Times. May 5, 2011: "The 'too gruesome' argument is very weak. Americans have seen photos of 9/11, the JFK assassination and Holocaust atrocities. We are adults. We can handle it. It is not the government's job to decide how much we can stomach. News reporters can warn parents to have their children leave the room, and parents can decide what to do next."
pro_3_2	US/world watched 9/11, they can bear to see dead Osama.	US/world watched 9/11, they can bear to see dead Osama. "Was Obama right to withhold bin Laden photos?" May 5th, 2011: "If a nation can be trusted to view the horrors of 9/11 in real time, flip through the Abu Ghraib picture book, witness the made-for-video murder of Daniel Pearl, see images of dead Uday and Qusay on the evening news, and gaze upon pictures of dead soldiers coming home as air freight (photos that President Bush, incidentally, tried to ban in the name of managing the news), then it can be trusted to stomach the last photos of Osama Bin Laden -- and whatever turmoil those photos might cause. Why? Because that's what sort of country the United States is."
pro_3_3	Photos just show Laden with bullet in head; not too gruesome.	Photos just show Laden with bullet in head; not too gruesome. Republican U.S. Rep. Peter King, who was among the lawmakers who had the images described to them, played down concerns over the images' gruesomeness, saying, “They're not going to scare people off. Nothing more than you'd expect with a person with a bullet in his head.”[17]  
pro_3_4	Concealing Osama photos infantilizes the nation.	Concealing Osama photos infantilizes the nation. Jack Shafer said withholding the photos infantilizes the nation in Response to a May 2011 60 minutes interview by Obama. 
pro_3_5	Why provide detailed descriptions but not offer photos?	Why provide detailed descriptions but not offer photos? Barbie Zelizer, author of the recent book About To Die: How News Images Move the Public, finds it paradoxical that the administration would recoil from releasing the photos but gladly provides verbal descriptions of the spectacular raid and Bin Laden's killing. "You can't have it both ways," Zelizer told Jack Shafer of Slate in an interview.[18]
pro_3_6	Photos would help people confront reality of Osama's death	 Photos would help people confront reality of Osama's death 
con_3_1	Exulting over Osama's dead photos barbaric, un-American.	Exulting over Osama's dead photos barbaric, un-American. Harold Evans. "Obama Was Right to Censor the Osama bin Laden Photo." The Daily Beast. May 5th, 2011: "I’d find the exultation of exhibiting the vanquished bin Laden to be obscene, ethically not much different from the Tudors, who liked sticking heads and dismembered torsos around London, or the barbarians of al Qaeda. Obama said it well: 'That’s not who we are. We don’t trot out this stuff as trophies.' It's the jihadists who enjoy celebrating death; we prefer to celebrate life."
con_3_2	Releasing Osama photos would imitate terrorists.	Releasing Osama photos would imitate terrorists. "Eight reasons why Obama was right not to release photos of Osama bin Laden's body." CS Monitor Editorial. May 4th, 2011: "Why imitate the jihadists who post gruesome pictures of their victims?"  
con_3_3	Gruesome photos will overshadow victory of Osama's death.	Gruesome photos will overshadow victory of Osama's death. Philip Gourevitch. "Don't release the photos." New Yorker. May 3rd, 2011: "ABC News is reporting that the first image of bin Laden that the White House may show us is 'bloody and gruesome, with a bullet wound to his head above his left eye.' If it’s released, this is the image that will instantly supplant every other account of Sunday’s raid as the iconic representation of America’s moment of triumph over its most wanted enemy. Is that what we want—the official equivalent of the Saddam hanging video? Did we learn nothing from the past decade about the overwhelming power of crude images of violence to define and polarize our historical moment? The Abu Ghraib photographs were unofficial documents of an official policy that was supposed to be kept secret, but if nothing else, they should have taught us that a photograph of the violence you inflict is always, in very large measure, a self-portrait. In getting rid of bin Laden, Obama as made the greatest step yet toward being able to put that era behind us. Do we want a photo of bin Laden’s bullet-punctured skull to eclipse this moment?"
con_3_4	Withholding photos resists blood-lust, morbid curiosity.	Withholding photos resists blood-lust, morbid curiosity. Most people want to see the photos out of a morbid curiosity, or due to an even more pernicious blood-lust. This should not be catered to. It is a barbaric desire that has been satisfied many times in the past, but that a modern America need not satisfy. 
con_3_5	Children should be spared images of dead Bin Laden	 Children should be spared images of dead Bin Laden 
headline_4	Freedom of information: Is there a free info imparative?
pro_4_1	Bin Laden death photos are part of public news record.	Bin Laden death photos are part of public news record. Barbie Zelizer, author of the recent book About To Die: How News Images Move the Public, says the photos are "part of the record, part of the news event."[19]
pro_4_2	Not Obama's job to manage news and reactions to photos.	Not Obama's job to manage news and reactions to photos. Jack Shafer. "Release the Dead Laden Photos." Slate. May 4, 2011: "it's not the White House's business to control and manage news for the good of the nation based on some imagined worst-case reaction to events. That's Soviet thinking."
pro_4_3	If the photos are not released they will be leaked.	If the photos are not released they will be leaked. Eric Golub. "Mr. Obama, release the bin Laden photos." The Washington Times. May 5, 2011: "In a world of Facebook, Twitter, DNA and Wikileaks, nothing stays hidden forever. If the photos are leaked (and they will be) before they are released by the government, it will damage Obama and perhaps the country as well."
pro_4_4	US has history of releasing photos of killed enemies.	US has history of releasing photos of killed enemies. "There Once Was A Time When The U.S. Military Enjoyed Spiking The Football," wrote The Smoking Gun. The staff generated a series of WWII-era newsreel reports of U.S. officials killing Nazis via firing squad and hanging. If the practice was common in recent US history, why should we look down upon it now?[20]
pro_4_5	Obama allowed photos of dead soldiers, why not Osama?	Obama allowed photos of dead soldiers, why not Osama? The Drudge Report recounts when in 2009 that the president lifted the 18-year-old military policy banning photographs of flag-draped coffins. It wonders aloud that the death-related photos didn't seem to bother him then. Why now?[21]
pro_4_6	Withholding photos fosters damaging debate on issue.	Withholding photos fosters damaging debate on issue. Why draw this debate out? Withholding the photos is creating more debate and animosity within the USA than releasing them would. Avoiding such divisiveness at a time when Americans should be celebrating is very important.
pro_4_7	Obama should favor openness over censorship with Osama photos	 Obama should favor openness over censorship with Osama photos 
pro_4_8	Concealing Osama photos sets bad precedent on gruesome news.	Concealing Osama photos sets bad precedent on gruesome news.
con_4_1	Just to withhold Osama photos for national security reasons.	Just to withhold Osama photos for national security reasons. It is clearly acceptable for the Commander in Chief to withhold information if there is a clear national security imperative in doing so. Obama has judged that releasing the photos would irritate the Muslim world and incite further incidence of violence and terrorism. On this basis, withholding them is clearly justified. [See below for arguments on why releasing the photos could be a national security risk. 
con_4_2	Withholding Osama photos like censoring death penalty photos.	Withholding Osama photos like censoring death penalty photos. "Eight reasons why Obama was right not to release photos of Osama bin Laden's body." CS Monitor Editorial. May 4th, 2011: "It's standard practice in US death-penalty cases not to release images of the executed." By comparison and precedent, it is completely acceptable to withhold photos for the purpose of maintaining decency in the images that the government officially releases for public viewing. 
con_4_3	Withholding photos lets Obama own event even more.	Withholding photos lets Obama own event even more. Marc Ambinder and Matthew Cooper. "Why Obama Nixed the Photo Release." National Journal. May 5th, 2011: "Though the White House won't say it, not releasing the photos means that the images one associates with the death of bin Laden are those of Obama making the announcement and Obama and team waiting in the Situation Room. Not releasing the photos helps Obama own this event even more."
con_4_4	Withholding images let's world move forward to new tasks.	Withholding images let's world move forward to new tasks. "Eight reasons why Obama was right not to release photos of Osama bin Laden's body." CS Monitor Editorial. May 4th, 2011: "8. Let's now focus on further tasks to suppress jihadists."
