title	Israeli blockade of Gaza
question	
headline_1	Legality: Is the blockade legal under international law?
pro_3_1	Lifting Gaza blockade would let weapons in, undermine peace	 Lifting Gaza blockade would let weapons in, undermine peace Jonathan Tobin. "Embrace of Hamas’s Goal of Breaking the Blockade Dooms Peace Efforts." Commentary Magazine. June 6th, 2010: "the problem with these [anti Israeli blockade] pieces is that if Israel did as they wished, it would effectively doom any chance for peace with the Palestinians. Lifting the blockade and allowing the free flow of goods into the area — which will open the floodgates for not only food and medicine, which are already in plentiful supply in Gaza, but also for Iranian arms and “construction materials” that will strengthen Hamas’s fortifications — would be the final step toward establishing the sovereignty of the Hamas regime in Gaza." 
pro_3_2	Blockade delegitimizes Hamas, preservers two-state solution	 Blockade delegitimizes Hamas, preservers two-state solution Yossi Klein Halevi. "There’s No Alternative." New York Times Room for Debate. June 1, 2010: "The political rationale for the siege is that only by eroding Hamas’s power can the two-state solution remain viable. So long as Hamas remains in control of Gaza, the Israeli public, which now overwhelmingly supports the principle of two states, will not agree to withdraw from the West Bank."
pro_3_3	Gaza blockade pressures Hamas to end rocket attacks, seek peace.	Gaza blockade pressures Hamas to end rocket attacks, seek peace. The stated purpose of the blockade was to pressure Hamas into ending the rocket attacks and to deprive them of the supplies necessary for the continuation of rocket attacks.
pro_3_4	Israeli blockade is supported by Egyptian blockade of Gaza	 Israeli blockade is supported by Egyptian blockade of Gaza Israel is not the only country blockading Gaza. Gaza's other neighbor, Egypt, is also blockading Gaza on the grounds that Hamas is a threat to its security. This demonstrates at the very least that Israel is not alone in its analysis, and it also is notably in the way that Egypt is a predominantly-Muslim country; the fact that it believes Hamas is a threat must mean that Hamas really is a threat, worthy of being blockaded.
pro_3_5	Israeli blockade isolates Hamas, helping push for regime change.	Israeli blockade isolates Hamas, helping push for regime change. If Hamas does not change its view of Israel, the best outcome would be for Hamas to be dethroned from power. A blockade helps achieve this by undermining Hamas popularity and economic power. 
pro_3_6	Lifting blockade would reward antics of flotilla activists	 Lifting blockade would reward antics of flotilla activists Jonah Goldberg. "Israel's Gaza blockade: It works." Los Angeles Times. June 8th, 2010: "this is a terrible moment to consider abandoning the blockade. Why? Because it would rightly be seen as giving the organizers and supporters of this seaborne propaganda stunt a victory. It would signal that America can be conned. It would reward Turkey's outrageous insult to us (a NATO ally) and to Israel, a longtime friend of Turkey."
con_3_1	Blockading Gaza actually strengthens Hamas' grip	 Blockading Gaza actually strengthens Hamas' grip Mr Cameron told the Commons during his first "questions time" as Prime Minister of the UK: "We should do everything we can to make sure this doesn't happen again. Friends of Israel - and I count myself a friend of Israel - should be saying to the Israelis that the blockade actually strengthens Hamas's grip on the economy and on Gaza. [...] And it's in their own interests to lift it and allow these vital supplies to get through." 
con_3_2	Blockade offers Hamas an excuse for its ineffectiveness	 Blockade offers Hamas an excuse for its ineffectiveness Ehud Eiran. "End the Siege, but Keep Arms Out." New York Times. June 1, 2010: "If the siege was intended to topple Hamas, it has failed and only provides an excuse for its governmental inefficiencies."
con_3_3	Deterrence and targeted strikes better than Gaza blockade.	Deterrence and targeted strikes better than Gaza blockade. Ehud Eiran. "End the Siege, but Keep Arms Out." New York Times. June 1, 2010: "Gaza has been used as a base for a 10-year shelling operation against southern Israel. This is our most acute security concern. [...] The siege does limit the amount and quality of weapons at Hamas’s disposal, but following the 2008-2009 attack on Gaza, Israel relies primarily on deterrence and the occasional follow-up military action."
con_3_4	Gaza blockade has achieved nothing	 Gaza blockade has achieved nothing Nicholas Kristof. "Blockade Has Failed." The New York Times. June 3rd, 2010: "The blockade has failed to topple Hamas, failed to recover the captured soldier Gilad Shalit, and failed to keep rockets out of Gaza. When you visit Gaza, you see that the siege has accomplished nothing — except to devastate the lives of 1.5 million ordinary Gazans."
con_3_5	Gaza blockade generally contrary to Israel's interests	 Gaza blockade generally contrary to Israel's interests Thomas Friedman. "When Friends Fall Out." New York Times. June 1, 2010: "It is overwhelmingly in Israel’s interest to bring more diplomatic imagination and energy to ending this Gaza siege. How long is this going to go on? Are we going to have a whole new generation grow up in Gaza with Israel counting how many calories they each get? That surely can’t be in Israel’s interest." 
con_3_6	Israeli blockade of Gaza has failed to meet objectives	 Israeli blockade of Gaza has failed to meet objectives "Israel's siege mentality." The Economist. Jun 3rd 2010: "The blockade of Gaza is cruel and has failed. The Gazans have suffered sorely but have not been starved into submission. Hamas has not been throttled and overthrown, as Israeli governments (and many others) have wished. Gilad Shalit, an Israeli soldier taken hostage, has not been freed. Weapons and missiles can still be smuggled in through tunnels from Egypt."
con_3_7	Gaza blockade worsens image of Israel as oppressor	 Gaza blockade worsens image of Israel as oppressor A senior American White House official told the New York Times in June of 2010: "Gaza has become the symbol in the Arab world of the Israeli treatment of Palestinians, and we have to change that. We need to remove the impulse for the flotillas. The Israelis also realize this is not sustainable."[9]
headline_4	Public opinion: Where is opinion internationally?
pro_4_1	Critics of Israeli blockade apply double standards	 Critics of Israeli blockade apply double standards Daniel Gordis. "A botched raid, a vital embargo." New York Times. June 2, 2010: "Israelis are resigned to the fact that reason will not shake the world’s blatant double standard. Our blockade of Gaza is “criminal”; yet nobody mentions that Egypt has had a blockade of Gaza in place since 2007, and has never hesitated to use lethal force against those trying to break it. Israel’s attempt to enforce a blockade becomes an international crisis, while most of the world shrugs when North Korea sinks a South Korean ship. Prime Minister Benjamin Netanyahu has declared his willingness to sit with Fatah leaders any time, anywhere, but they insist on mere “proximity talks,” which they will probably now scuttle, using the flotilla as an excuse."
pro_4_2	Israel is vulnerable; can't cave to global opinion on blockade	 Israel is vulnerable; can't cave to global opinion on blockade Daniel Gordis. "A botched raid, a vital embargo." New York Times. June 2, 2010: "Israel’s geographic vulnerability means that we do not have the luxury of caving in to the world’s condemnation. We will have to gird ourselves for the long, dangerous and lonely road ahead, buoyed by hope that what ultimately prevails will be not what is momentarily popular, but rather what is just."
con_4_1	Israelis suffer from double standard on Gaza blockade.	Israelis suffer from double standard on Gaza blockade. It can be argued that Israel has a double standard. Israelis point to the suffering of their civilians who live near the border with Gaza, but they, and the rest of the world, turn a blind eye when it comes to the suffering of the civilians in Gaza, half of whom are children.  
