title	Israeli military assault in Gaza
question	Was Israel's 2008/2009 military bombing and invasion of Gaza justified?
headline_1	Peace process: Did Israel's assault improve or worsen the peace process?
con_4_9	All Israelis serve in military; Hamas rockets have military target.	All Israelis serve in military; Hamas rockets have military target. Many say that Hamas' rocket attacks indiscriminately target Israeli citizens. Yet, all citizens in Israel must serve in the military. In a sense, this means that the entire Israeli population is a legitimate military target for Hamas.[6]
headline_5	Ceasefire: Is Hamas to blame for breaking the cease-fire?
pro_5_1	Hamas was never committed to ceasefire, consistently violating it	 Hamas was never committed to ceasefire, consistently violating it Hamas consistently violated the terms of the ceasefire between Gaza and Israel, launching 6,500 rockets fairly consistently throughout the period of the ceasefire. 
pro_5_2	Hamas was first to escalate conflict following end of ceasefire	 Hamas was first to escalate conflict following end of ceasefire Whoever is to blame for allowing the ceasefire to expire on December 19th, 2008, Hamas was first to actually escalate the conflict with a systematic increase in rocket attacks to a magnitude of hundreds of rockets fired daily in late December.  
pro_5_3	Hamas invited invasion by refusing to extend the ceasefire	 Hamas invited invasion by refusing to extend the ceasefire "Israel Strikes". Washington Post. 28 Dec. 2008 - "[Hamas] invited the conflict by ending a six-month-old ceasefire."
con_5_1	Israel was never committed to ceasefire, consistently violating it	Israel was never committed to ceasefire, consistently violating it Isreal has killed 50 civilians in the so-called ceasefire period. 
con_5_2	Israeli blockade, despite Hamas compliance, unraveled ceasefire	 Israeli blockade, despite Hamas compliance, unraveled ceasefire. Katherine Butler. "Why Did Israel Attack Gaza?". The Independent. December 29th, 2008 - "Why did the ceasefire collapse? Hamas had offered to renew the ceasefire if Israel reopened Gaza's border crossings. The strip had been sealed by Israel in an economic siege aimed at toppling Hamas. The blockade has brought the territory near economic collapse."
con_5_3	Israel air strikes in November, 2008 unraveled the ceasefire	 Israel air strikes in November, 2008 unraveled the ceasefire Rashid Khalidi. "What You Don’t Know About Gaza". New York Times. January 7, 2009 - "The cease-fire broke down when Israeli forces launched major air and ground attacks in early November; six Hamas operatives were reported killed."
headline_6	Blame for conflict: Who is to blame as the primary cause of the conflict?
pro_6_1	Hamas caused blockade/conflict by adopting terrorism	 Hamas caused blockade/conflict by adopting terrorism Ephraim Sneh. "Why Israel Is Bombing Gaza". Washington Post. January 1, 2009 - "In January 2006, rule over Gaza passed to the Hamas government under Ismail Haniyeh. Instead of bringing investors to Gaza, the Hamas government brought the guerrilla-warfare trainers of the Iranian Revolutionary Guard. [...] In June 2007, in a brutal and bloody military coup, Hamas took control of Gaza and soon killed or chased out the leaders of President Mahmoud Abbas's Fatah movement. Gaza became nothing less than a military base for Iran. [...] The Hamas takeover is what in effect locked the gates of Gaza and forced its residents to suffer."
pro_6_2	Palestinians, not Israeli blockade, are to blame for failed Gaza economy	 Palestinians, not Israeli blockade, are to blame for failed Gaza economy "Was Hamas Provoked?". International Jewish News. January 8, 2009 - "Israel withdrew from the Gaza Strip in August, 2005. Not only did Israel not attempt to defeat economic recovery in Gaza, Israel went out of her way to give it an initial boost. Israel left behind an extensive network of greenhouses. Palestinians in Gaza destroyed them. Mark that as the first step in Gaza’s descent into economic crisis. Palestinian malice was so pure, its rage so blind, its self-interest so irrelevant, that it destroyed a first basis of its economic flowering."
pro_6_3	Blockade was justly designed to cut off arm imports to Gaza	 Blockade was justly designed to cut off arm imports to Gaza "Was Hamas Provoked?". International Jewish News. January 8, 2009 - "Israeli control of Gaza’s borders was a response to Hamas’ exploitation of Israel’s withdrawal from Gaza to turn it into an armed, Islamic state dedicated to the destruction of Israel above all else, even its own economy. Hamas was not provoked. Quite the contrary. Hamas’ arms smuggling was the provocation. Then, on top of this provocation, Hamas fired rockets indiscriminately into Israel. The idea that Hamas was provoked leapfrogs the facts."
pro_6_4	Hamas could have ended blockade by simply recognizing Israel	 Hamas could have ended blockade by simply recognizing Israel "Israel gambles in Gaza". USA Today. December 30, 2008 - "Hamas says its missile fire is justified. It contends that Israel is behaving like a capricious jailer to Gaza's Palestinians. Besides controlling air and sea access, Israel won't open border crossings into Israel with any consistency — as a result, Palestinians don't have access to the regular trade and jobs that can make their economy viable. Palestinians in Gaza live in dire and growing poverty. All of that is true, but Hamas could change the situation in an instant simply by credibly recognizing Israel's right to exist."
pro_6_5	Israel is not an occupier and responsible for Gazans	 Israel is not an "occupier" and responsible for Gazans Shlomo Dror, spokesman for Israel's coordinator of government activities in the territories, said in 2007, "We regarded the area as the seed of a Palestinian state. But now Hamas rules there, we disengaged, and now we have nothing to do with it. [...] with the abolition of the military government in Gaza and in light of the current security situation, the State of Israel bears no responsibility to take care of the various interests of Gaza residents."[7]
pro_6_6	Blockade was legitimate defense, despite occupier responsibility	 Blockade was legitimate defense, despite "occupier responsibility" Ordinarily, an "occupying power" does have a responsibility to the welfare of those it is "occupying". Yet, Israel also has the right to defend itself, and, in the case of Gaza, the blockade was the most reasonable form of such defense. 
con_6_1	Israel caused conflict by terrorizing Gaza with blockade	 Israel caused conflict by terrorizing Gaza with blockade Rashid Khalidi. "What You Don’t Know About Gaza". New York Times. January 7, 2009 - "As the [de facto] occupying power, Israel has the responsibility under the Fourth Geneva Convention to see to the welfare of the civilian population of the Gaza Strip. [...] Israel’s blockade of the strip, with the support of the United States and the European Union, has grown increasingly stringent since Hamas won the Palestinian Legislative Council elections in January 2006. Fuel, electricity, imports, exports and the movement of people in and out of the Strip have been slowly choked off, leading to life-threatening problems of sanitation, health, water supply and transportation. [...] The blockade has subjected many to unemployment, penury and malnutrition. This amounts to the collective punishment — with the tacit support of the United States — of a civilian population for exercising its democratic rights."
con_6_2	Israel indiscriminately targeted Gazan civilians in blockade.	Israel indiscriminately targeted Gazan civilians in blockade. According to Hebrew University international law expert Yuval Shani, "It is my opinion that in this situation, and given the question marks regarding Israel's status in Gaza and Gaza's long-standing dependency on Israel, cutting off its water and electricity supplies would be equivalent to a direct attack on a civilian target, especially given that the motive for doing so is one of collective punishment, which is, in itself, a problematic motive."[8]
con_6_3	Israel failed its responsibilities as an occupier of Gaza	 Israel failed its responsibilities as an occupier of Gaza By controlling Gaza's borders, trade, electricity and water, Israel has remained an "occupying" force over Gaza. By international law, this requires that Israel uphold the humanitarian interests of Gazans. The blockade clearly violated this obligation and was a major cause of the conflict.
headline_7	Iran: Were Israel's Gaza strikes valuable in its efforts to contain Iran?
pro_7_1	Israeli offensive in Gaza combats Hamas-Iran ties	 Israeli offensive in Gaza combats Hamas-Iran ties. "Israel's Gaza Defense". Wall Street Journal. December 29th, 2008 - "Egypt's Foreign Minister, Ahmed Abul Gheit, assailed Israel's air strikes but also held Hamas responsible. They understand that Hamas, like Hezbollah, is increasingly allied with Iran and its goals for fomenting regional instability."
pro_7_2	Israel has the resolve to address Hamas AND Iran	 Israel has the resolve to address Hamas AND Iran "Israel & Gaza: Poor Hamas? No!". Pittsburgh Tribune. December 30, 2008 - Some see the Hamas attacks as a way to divert Israel's attention from the terrorists' moneybags buddy Iran, whose burgeoning nuclear designs increasingly have been coming into Israel's cross hairs. But that would be a serious underestimation of Israel's resolve."
con_7_1	Attacking Gaza distracts Israel from Iranian threat	 Attacking Gaza distracts Israel from Iranian threat Israel's main strategic threat is Iran. By attacking Gaza, Israel distracted itself from containing the Iranian threat. Furthermore, Israel's attack has helped bolster Iran's case in the region against Israel. 
con_7_2	Gaza assault bolsters Iran's radical message against Israel	 Gaza assault bolsters Iran's radical message against Israel "Divided on Gaza.". Washington Post. December 30, 2008: "Israel's offensive gives Iran and its allies a way to pressure Egypt, Jordan and other Arab "moderates." Like the Lebanon war of 2006, Israel's battle with Hamas in Gaza is producing a schism among Muslim states. Iran and its ally Hezbollah in Lebanon have joined Hamas's Damascus-based leadership in calling for a new intifada, or uprising, against Israel -- and also against the governments of Egypt and Jordan, which are accused of silently supporting Israel's air attacks." 
