title	No-fly zone over Libya
question	Is a no fly zone over Libya a good idea?
headline_1	Feasibility: Is a no-fly zone feasible within reason?
con_3_4	No-fly zone that fails to dislodge Gaddafi will look bad.	No-fly zone that fails to dislodge Gaddafi will look bad. Ross Douthat. "The Perils of a No-Fly Zone." New York times. March 10th, 2011: "what will happen to American credibility if we effectively declare war on Libya [with a "no fly zone") and then fail to dislodge Qaddafi, because he’s well-entrenched and we aren’t willing to escalate beyond air cover? It seems all-too-plausible that rather than vindicating American power, a no-fly zone will ultimately just make the United States look like more of a paper tiger: We’ll demonstrate that we’re capable of going halfway to war, but no further, and Libya’s tyrant will be able to claim that he fought America and won."
headline_4	Morality: Is a no-fly zone morally justified?
pro_4_1	No fly zone in Libya prevents a massacre	 No fly zone in Libya prevents a massacre John Kerry. "A no fly zone for Libya." Washington Post. March 11th, 2011: "the stakes in Libya today are more appropriately underscored by the tragedy that took place in southeren Iraq in the waning days of the Persian Gulf War. As coalition forces were routing the Iraqi army in February 1991, President George H.W. Bush encouraged the Iraqi people to "take matters into their hands to force Saddam Hussein the dictator to step aside." When Iraqi Shiites, Kurds and Marsh Arabs rebelled against their brutal dictator, they believed American forces would protect them against Hussein's superior firepower. When Iraqi attack helicopters and elite troops began butchering their own people, coalition forces were ordered to stand down. The world watched as thousands of Iraqis were slaughtered."
pro_4_2	No-fly zone justified against madman Gaddafi	 No-fly zone justified against madman Gaddafi 
pro_4_3	No-fly zone does not constitute military intervention.	No-fly zone does not constitute military intervention. A no-fly zone does not constitute military intervention, according to such sources as John Kerry, the chair of the US Senate Foreign Relations Committee, on Face the Nation in March of 2011. This is because it does not inherently involve engaging the enemy; it only involves engaging enemy aircraft if they try to take flight and inflict harm on civilians, etc. In this manner, a no-fly zone is more of a humanitarian mission.[6]
pro_4_4	People will suspect US in Libya regardless of no-fly zone	 People will suspect US in Libya regardless of no-fly zone 
pro_4_5	West has responsibility to countering oppression.	West has responsibility to countering oppression. Job C. Henning. "Counterpoint: Protecting the Libyan People." New York Times. March 9th, 2011.: "The West should take this chance to support human rights at the most fundamental level. We should stand against a state that seeks to use its sovereign status as a shield as it deprives its people of life. In doing so we would not be perpetuating the unilateral interventionism of our actions in Iraq in 2003. Instead, we would be making an important contribution to a rule-based international society by reinforcing the emerging international legal norm of the “Responsibility to Protect." This principle — that mass atrocities are the responsibility of all nations — was universally adopted at the United Nations World Summit in 2005. It continues the modern evolution of sovereignty from an absolute condition to a status contingent upon behavior: States will treat other states as sovereign if they uphold certain responsibilities."
con_4_1	No-fly zone is an act of war; goes too far	 No-fly zone is an act of war; goes too far John Carney. "Just Say No to a ‘No Fly Zone’ Over Libya." CNBC. March 7th, 2011: "The very first step in establishing a no-fly zone would be a bombing attack on Libya. Our bombers would have to seek out and destroy Libya’s air defenses. Bombing another country is called war. We’d be converting a nascent civil war in Libya into an international war lead by the United States."
con_4_2	No proof Libyan airforce fired on own people	 No proof Libyan airforce fired on own people On March 2nd, Adm. Mike Mullen, chairman of the U.S. Joint Chiefs, acknowledged: "We've not been able to confirm that any of the Libyan aircraft have fired on their own people."[7]
con_4_3	No-fly zone could increase support for Gaddafi	No-fly zone could increase support for Gaddafi Sami Hermez. "Libya and the folly of intervention." Al Jazeera. March 7th, 2011: "Indeed, while many have called for a no-fly zone, this would effectively equal military intervention, since its enforcement would entail patrolling the Libyan skies, shooting down planes and otherwise disabling the Libyan air force, a scenario that would surely win Gaddafi many more supporters."
con_4_4	No evidence that rebels would govern any better than Gaddafi	No evidence that rebels would govern any better than Gaddafi Leslie Gelb. "Don't use U.S. force in Libya!" The Daily Beast. March 8th, 2011: "The real question is this: If the rebels gained power, would they be any better than Col. Gaddafi? I haven't found many Americans, or anyone else, for that matter, who know much about them. Doubtless, some are noble freedom fighters  who seek democracy for their nation. Still, I wouldn't bet on many of them falling into that category; they've had little opportunity to learn about democracy under the tutelage of Col. Gaddafi. Many of them could turn out to be thugs, thieves, and would-be new dictators. Surely, some will be Islamic extremists. One or more might turn into another Col. Gaddafi after gaining power. Indeed, when the good colonel led the Libyan coup in 1969, many right-thinking Westerners thought him to be a modernizing democrat. "I guess we were kind of euphoric about him at first," William D. Rogers, who was President Nixon's secretary of state at the time of Gaddafi's ascension to power, has said. Many caring and anti-colonial Westerners felt the same good vibes coming from the likes of Saddam Hussein in Iraq and Hafez al-Assad in Syria, and on and on."
headline_5	Mission creep: Would NFZ involve into greater engagement?
pro_5_1	No-fly zone does not include putting troops on the ground.	No-fly zone does not include putting troops on the ground. "A no-fly zone over Libya? The case for and against." The Guardian. March 15th, 2011: "It will not be destabilising as it does not require putting western forces on Libyan territory."
pro_5_2	No-fly zone does not require bombing Libyan air bases.	No-fly zone does not require bombing Libyan air bases. Nicholas Kristof. "The case for a no-fly zone." The New York Times. March 9th, 2011: "The secretary of defense, Robert Gates, has said that a no-fly zone would be “a big operation in a big country” and would begin with an attack on Libyan air defense systems. But General McPeak said that the no-fly zone would be imposed over those parts of the country that Col. Muammar el-Qaddafi doesn’t control. That may remove the need to take out air defense systems pre-emptively, he said. And, in any case, he noted that the United States operated a no-fly zone over Iraq for more than a decade without systematically eradicating all Iraqi air defense systems in that time."
pro_5_3	No-fly zone sends message: world won't tolerate tyranny	 No-fly zone sends message: world won't tolerate tyranny Job C Henning. "Counterpoint: Protecting the Libyan People." New York Times. March 9th, 2011: "[While [a no-fly zone] won’t prevent many actions by the Libyan government on the ground, as the U.S. ambassador to NATO, Ivo Daalder, has noted, the immediate establishment of a no-fly zone would send an unequivocal message to Qaddafi, his loyal supporters, the Libyan opposition, and the world: The United States and its allies won’t stand by idly as another state brutalizes its people." 
con_5_1	Libyan no-fly zone would evolve into larger military engagement	 Libyan no-fly zone would evolve into larger military engagement Edward Rees. "The Case Against a No-Fly Zone in Libya." The Atlantic. February 28th, 2010: "Any NFZ carries two serious risks: downing the wrong aircraft, such as an aid flight or transport; and getting drawn into the conflict on the ground. Even if Qaddafi doesn't provoke ground strikes by shooting at occupying planes, it's not hard to see how the NFZ could escalate into a bombing campaign. It could quickly devolve into a "no drive zone" operation, in which Libyan ground forces such as tanks, artillery, and convoys become targets. As the NFZ escalates, so does the risk of losing planes and pilots, as does the possibility of mistakenly bombing protesters, some of whom already occupy military bases and could try to use the hardware themselves."
con_5_2	No fly zone would create expectation of help elsewhere.	No fly zone would create expectation of help elsewhere. George Will. "On Libya, too many questions." Washington Post. March 8th, 2011: "The Egyptian crowds watched and learned from the Tunisian crowds. But the Libyan government watched and learned from the fate of the Tunisian and Egyptian governments. It has decided to fight. Would not U.S. intervention in Libya encourage other restive peoples to expect U.S. military assistance?"
con_5_3	No-fly zone requires a backup-plan in case it fails	No-fly zone requires a backup-plan in case it fails Ross Douthat. "Iraq Then, Libya Now." New York Times. March 13th, 2011: "Advocates of a Libyan intervention ... have rallied around a no-flight zone as their Plan A for toppling Qaddafi, but most military analysts seem to think that it will fail to do the job, and there’s no consensus on Plan B. Would we escalate to air strikes? Arm the rebels? Sit back and let Qaddafi claim to have outlasted us? If we did supply the rebels, who exactly would be receiving our money and munitions? Libya’s internal politics are opaque, to put it mildly. But here’s one disquieting data point, courtesy of the Center for a New American Security’s : Eastern Libya, the locus of the rebellion, sent more foreign fighters per capita to join the Iraqi insurgency than any other region in the Arab world."
con_5_4	Past No-fly zones have led to further military intervention	Past No-fly zones have led to further military intervention Ross Douthat. "Iraq Then, Libya Now." New York Times. March 13th, 2011: "Twice in the last two decades, in Iraq and the former Yugoslavia, the United States has helped impose a no-flight zone. In both cases, it was just a stepping-stone to further escalation: bombing campaigns, invasion, occupation and nation-building."
