title	Death penalty
question	Is the death penalty justified?
headline_1	Justice/desert: Are executions sometimes required to uphold justice/due desert?
pro_7_6	The death penalty is a just means of protecting society	 The death penalty is a just means of protecting society Steven Farrell, professor of political economy at George Wythe College. "A Conservative Case for the Capital Punishment". 18 Mar. 2005 - "The legitimate role of government involves the protection of life, liberty and property. Just as the role of the government is to raise an armed force and rain down deadly force upon a bloodthirsty invading army, so also the government is duty bound to inflict death upon the man who chooses to slaughter fellow citizens in their own backyards. Few, if any, object to the use of deadly force against an invading army. Yet those invading soldiers, ordered to fight and likely whipped up by propaganda to go into battle, are far less deserving of death than the assailant who has been proven guilty and convicted in a court of law, by a jury of his peers, of shedding the innocent blood of his neighbor – and this of his own free will. Yet we do and must condone war in such situations. Governments must protect life. This is no less true regarding individual life."
pro_7_7	Deterrence is not a necessary pillar of the case for the death penalty	 Deterrence is not a necessary pillar of the case for the death penalty Thomas R. Eddlem. "Ten anti-death penalty fallacies". The New American. 3 June 2002 - "Death penalty opponents love to assume that the principal purpose for capital punishment is deterrence, possibly realizing it is a perfect straw argument. Tangible proof of deterrence alone is not a valid reason for capital punishment (or any other form of punishment, for that matter), nor is it the main rationale employed by astute death penalty advocates. As Christian writer C.S. Lewis observes, '[deterrence] in itself, would be a very wicked thing to do. On the classical theory of punishment it was of course justified on the ground that the man deserved it. Why, in Heaven's name, am I to be sacrificed to the good of society in this way?-unless, of course, I deserve it.' Inflicting a penalty merely to deter -- rather than to punish for deeds done -- is the very definition of cruelty. A purely deterrent penalty is one where a man is punished -- not for something that he did -- but for something someone else might do. Lewis explained the logical end of this argument: 'If deterrence is all that matters, the execution of an innocent man, provided the public think him guilty, would be fully justified.'" Men should be punished for their own crimes and not merely to deter others. That said, the death penalty undoubtedly does deter in some cases. For starters, those executed will no longer be around to commit any more crimes."
pro_7_8	Executions punish the guilty so can't encourage killing the innocent	 Executions punish the guilty so can't encourage killing the innocent Thomas R. Eddlem. "Ten anti-death penalty fallacies". The New American. 3 June 2002 - "If capital punishment teaches that it's permissible to kill, do prison sentences teach that it's permissible to hold someone against his will, and do fines teach that it's permissible to steal? In actuality, this fallacy confuses killing the innocent with punishing the guilty. To punish the guilty via the death penalty is not to condone the shedding of innocent blood. Just the opposite, in fact, since capital punishment sends a strong message that murder and other capital crimes will not be tolerated."
pro_7_9	Capital punishment protects more innocents than it does accidentally take the life of innocent convicts.	Capital punishment protects more innocents than it does accidentally take the life of innocent convicts. While it is possible that an innocent person may be executed through capital punishment, more innocent people have been killed by released, paroled or escaped murderers than innocent people executed. If a society chooses not to execute its most dangerous members, it risks these people killing again. The risk of innocent people being killed exists on both sides of the topic. It is wrong for the affirmative to assert that the risk of innocent lives being lost exists only when a society uses the death penalty. It would be difficult if not impossible to determine whether more innocent lives are risked on either side of this topic. Unless the affirmative could prove that a society that employs the the death penalty will always end up killing more innocent people than it saves, the death penalty cannot be said to be inherently immoral. So long as a just society reasonably believes that using the death penalty will protect human lives and is shown no evidence to the contrary, it could justly use the death penalty.
pro_7_10	Deterrent of capital punishment varies across the states.	Deterrent of capital punishment varies across the states.-"on average, the states where capital punishment deters murder execute many more people than do the states where capital punishment incites crime or has no effect.Using various statistical techniques, I show that a threshold number of executions for deterrence exists, which is approximately nine executions during the sample period. In states that conducted more executions than the threshold, executions, on average,deterred murder. In states that conducted fewer executions than the threshold, the average execution increased the murder rate or had no effect."
pro_7_11	It is impossible to determine that deterrence is not working	 It is impossible to determine that deterrence is not working John Stuart Mill, in a speech in favor of capital punishment - "As for what is called the failure of death punishment, who is able to judge of that? We partly know who those are whom it has not deterred; but who is there who knows whom it has deterred, or how many human beings it has saved who would have lived to be murderers if that awful association had not been thrown round the idea of murder from their earliest infancy?"[21]
con_7_1	What's a detterant?	What's a detterant?Many former death row inmates along with murderers testified that before, during, and after the crime, they didn't think or even consider the death penalty. They never thought about the death penalty as a punishment to their crimes. Then how could people say that it serves as a detterant when the criminals never even considered it?
con_7_2	Life in prison deters crime/murder as well as the death penalty	 Life in prison deters crime/murder as well as the death penalty Archbishop Charles J. Chaput. "Justice, Mercy, and Capital Punishment". 2005 - "The Catechism of the Catholic Church explains it in these words: If 'non-lethal means [such as life without parole] are sufficient to defend and protect people’s safety from the aggressor [i.e., the convicted murderer], authority [should] limit itself to such means, as these are more in keeping with the concrete conditions of the common good and more in conformity with the dignity of the human person'. (2267). John Paul II, writing in The Gospel of Life, stressed that 'the nature and extent of the punishment [for capital crimes] must be carefully evaluated and decided upon, and ought not to go to the extreme of executing the offender except in cases of absolute necessity; in other words, when it would not be possible otherwise to defend society. Today however, as a result of steady improvements to the organization of the penal system, such cases are very rare, if not practically non-existent' (no. 56). In modern industrialized states, killing convicted murderers adds nothing to anyone’s safety. It is an excess. It cannot be justified except in the most extraordinary conditions."
con_7_3	Capital punishment does not deter crime	 Capital punishment does not deter crime Jeffrey Fagan, Columbia Law Professor. "Deterrence and the Death Penalty: A Critical Review of the New Evidence". Testimony to the New York State Assembly Standing Committee on Codes and other committees on the Future of Capital Punishment in the State of New York. 21 Jan. 2005 - "These new studies [that claim a new evidence supports the conclusion that capital punishment has a positive deterrent effect] are fraught with technical and conceptual errors: inappropriate methods of statistical analysis, failures to consider all the relevant factors that drive murder rates, missing data on key variables in key states, the tyranny of a few outlier states and years, and the absence of any direct test of deterrence. These studies fail to reach the demanding standards of social science to make such strong claims, standards such as replication and basic comparisons with other scenarios. Some simple examples and contrasts, including a careful analysis of the experience in New York State compared to others, lead to a rejection of the idea that either death sentences or executions deter murder."
con_7_4	Deterrent-effect of executions is too controversial to justify policy.	"Deterrent-effect" of executions is too controversial to justify policy. It is not proper to conclude that more executions cause higher crime rates with the limited information available. At a minimum, the issue is too contested to base any policies on the conclusion that the death penalty "deters crimes".
con_7_5	Executions have a brutalizing social effect that can increase crime	 Executions have a brutalizing social effect that can increase crime Capital punishment has a "brutalizing effect" that increases the willingness of criminals to take life.[22] If state-sanctioned killings are occurring, might an individual feel more justified in murdering another person? If governments of men can take the power of life-and-death into their hands, might this make a man more comfortable with also taking that power into his own hands?
con_7_6	Higher execution rates may actually increase violent crime rates:	Higher execution rates may actually increase violent crime rates: California averaged 6 executions a year from 1952 to 1967, and had twice the murder rate than the period from 1968 until 1991 when there were no executions. In New York, from 1907 to 1964, months immediately following an execution showed a net increase of two murders - an average over a 57-year period.
con_7_7	The ends (deterrence) should not justify means (capital punishment)	 The ends (deterrence) should not justify means (capital punishment) It is unacceptable to justify capital punishment on the idea that it will produce a desirable social end, such deterrence. This is an example of the ends justifying the means and is unacceptable, as it could be used to justify, for instance, crucifixions in order to deter crime. More broadly, it is important not to bring utilitarian, practical considerations into a debate about life and death.
con_7_8	Using death penalty to fight crimes distracts from underlying problems	 Using death penalty to fight crimes distracts from underlying problems Bedau/ACLU. "The Case Against the Death Penalty". 1992 - "Reliance on the death penalty obscures the true causes of crime and distracts attention from the social measures that effectively contribute to its control. Politicians who preach the desirability of executions as a weapon of crime control deceive the public and mask their own failure to support anti-crime measures that will really work."
con_7_9	The death penalty denies the opportunity to study murderers to prevent future ones.	The death penalty denies the opportunity to study murderers to prevent future ones. It is important that scientists be able to study murderers to determine what drives them to perform such heinous acts. If society has a better understanding of the causes of murderous rages, it should be better able to prevent them in the future. Capital punishment prevents this research from occurring.
con_7_10	Executions contradict strategy of sensitivity to urban neighborhoods	 Executions contradict strategy of sensitivity to urban neighborhoods Daniel F. Conley, Suffolk County District Attorney, Boston Globe. 19 Sept. 2003. - "I do not believe the death penalty is a deterrent or appropriate punishment for inner-city homicide. The death penalty runs counter to the strategies for preventing and prosecuting urban crime -- which include sensitivity to the neighborhoods we serve -- that have proven successful in Boston over the last decade."[23]
headline_8	Implementation: Is capital punishment implemented consistently and fairly?
pro_8_1	Capital punishment should be based on principle, not implementation.	Capital punishment should be based on principle, not implementation. Some of the main criticisms of capital punishment are that innocent convicts may be executed and that the form of execution may be faulty and cause the convict excessive pain. Yet, these criticisms are simply a matter of implementation, which can be improved; they are not a matter of the basic principles of justice surrounding capital punishment.
pro_8_2	Race is not a significant factor in capital punishment cases	 Race is not a significant factor in capital punishment cases Michael Nevin, San Francisco based columnist. "Death Decisions". 8 Apr. 2004 - "The issue of race has been cited by critics, who complain that minorities are unfairly chosen for death sentences. According to the U.S. Bureau of Justice Statistics, since the death penalty was reinstated by the Supreme Court in 1976, white inmates have made up more than half of those under sentence of death. In 2002, 71 persons in 13 states were executed: 53 were white and 18 were black. The Cornell University study found that African Americans represented 41.3% of condemned inmates while they committed 51.5% of homicides."
pro_8_3	Any discrimination in capital punishment cases can be corrected	 Any discrimination in capital punishment cases can be corrected Instances of discrimination in capital punishment cases does not mean capital punishment is wrong. Rather, it would simply show that the judicial system is acting with bias. Yet, it would be unnecessary and inappropriate to ban capital punishment on these grounds. The problem should be solved by reforms that would ensure that the judiciary is not discriminating.
con_8_1	Capital punishment is too often the decision of a single authority.	Capital punishment is too often the decision of a single authority. Because Capital Punishment is resolute and irreconcilable, its application is either reserved for extremities, or for judicial statements regarding the severity of the law concerned. Thus, it may be either used exceedingly sparingly or overtly. Any sentence that welds such influential decision changing power cannot possibly be applied equally and fairly across all Judges/Juries deciding the sentence. As such, it should be removed as sentence the court has over the people.
con_8_2	The death penalty is often motivated by discrimination	 The death penalty is often motivated by discrimination -- Steward F. Hancock, former associate judge of New York's  Court of Appeals. - "As a matter of common sense, one would have to conclude, as the court in Massachusetts did, that since racial prejudice affects the death sentencing systems throughout the United States and since it has affected death sentencing under the previous statute, it will affect death sentences under the present statute as well."
con_8_3	Capital punishment is excercised irregularly and arbitrarily	 Capital punishment is excercised irregularly and arbitrarily US Supreme Court Justice William J. Brennan, Furman v Georgia, 1972 - "When a country of over 200 million people inflicts an unusually severe punishment no more than 50 times a year, the inference is strong that the punishment is not being regularly and fairly applied.'"[24]
con_8_4	The poor are unfairly vulnerable to capital punishment	 The poor are unfairly vulnerable to capital punishment The poor are less able to afford a good lawyer that will defend their interests. For this reason, their defense is generally weaker, and they are more susceptible to capital punishment convictions. It is also true that the poor are likely to suffer from certain biases that make their conviction more likely.
con_8_5	Overburdened courts cut-corners on death penalty cases	 Overburdened courts cut-corners on death penalty cases Stephen Reinhardt, U.S. Court of Appeals, 9th Circuit, dissenting in the decision to allow Thomas Thompson to be executed in California; Reinhardt, S.: "The Supreme Court, The Death Penalty, and the Harris Case" (1992) - "We are presently barely able to handle our current caseload properly .... We are always looking for new fast-track procedures -- which means less careful, less thorough review of cases on the merits. ... [Soon] not only will we not be able to handle those death penalty cases properly, but we will not, in all likelihood, be able to handle any of our cases in a manner that is consistent with the standards that have traditionally marked the federal courts."[25]
con_8_6	The state should simply not be involved in killing people	The state should simply not be involved in killing people.
headline_9	Public opinion: Do publics support capital punishment and should they be heeded?
pro_9_1	Majority of Americans support the death penalty	 Majority of Americans support the death penalty "Majority of Americans favor death penalty: poll". Reuters. 9 Jun 2007
pro_9_2	Public calls for capital punishment must be met to uphold justice	 Public calls for capital punishment must be met to uphold justice If a public demands capital punishment, and yet a government does not deliver it, the public will likely feel that justice has not been served, which is highly socially damaging. One of the risks is that a public rejects the legitimacy of their judicial system and becomes more prone to flaunting its laws.
pro_9_3	Rejecting calls for capital punishment risks inciting vigilante justice	 Rejecting calls for capital punishment risks inciting vigilante justice If the public will for capital punishment is consistently rejected by a government, elements of the public may feel that they need to uphold justice themselves, leading to vigilante justice.
pro_9_4	Death penalty popular internationally; politicians aren't listening	 Death penalty popular internationally; politicians aren't listening Joshua Micah Marshall. "Death in Venice. Europe's death-penalty elitism". The New Republic. 31 Jul. 2001. - "opinion polls show that Europeans and Canadians crave executions almost as much as their American counterparts do. It's just that their politicians don't listen to them."[26]
con_9_1	Public opinion is not necessarily right	Public opinion is not necessarily rightOK. Let's concede that public opinion does support the death penalty. However, public opinion isn't always right nor justified. The public disapproved of the Civil War of the US when it first occured, but looking from hindsight, it was one of the most important decisions in US history. Public opinion supported segregation during the time of the KKK, but racism is now illegal. Just when had public opinion has always been right?
con_9_2	Public opinion should not determine justice.	Public opinion should not determine justice. Justice is not supposed to be up to public opinion. On a matter that is so centrally about justice, public opinion should play a minimal role.
con_9_3	National hysteria can lead to unjust convictions and execution	National hysteria can lead to unjust convictions and execution As with the famous case of the Rosenburgs, capital punishment is sometimes carried out in response to national hysteria. Following public opinion, therefore, is a dangerous approach to capital punishment.
headline_10	Costs: Is capital punishment economically justifiable and cost-effective?
pro_10_1	Executions are no more costly than life in prison	 Executions are no more costly than life in prison Peter Bronson. "Death Penalty Guards What is Valued Most". International Herald Tribune. 8 Mar. 2001 - "I have heard the death penalty is too costly, that life without parole is cheaper. That is not true, once long-term prison costs of $25,000 a year are added up."
pro_10_2	Costs of capital punishment are irrelevant to justice	 Costs of capital punishment are irrelevant to justice New Jersey Senator John F. Russo (D). "Don't Abolish the Death Penalty, Fix it". Baltimore Sun. 1 Mar. 2007 - "It doesn't matter what it costs. The taking of a human life is something far too important to be influenced either way by costs. Similarly, it has been said that the death penalty diverts resources from services for victims. Whether or not the state has the death penalty, victims of violent crime can and should be given appropriate services to cope with their loss."
pro_10_3	Opponents of capital punishment are responsible for high costs.	Opponents of capital punishment are responsible for high costs. Opponents of the death penalty prefer to ignore the fact that they themselves are responsible for its high costs, by causing a never-ending succession of appeals.
pro_10_4	Capital punishment relieves strains on over-populated prisons.	Capital punishment relieves strains on over-populated prisons. Prisons in many countries are over-crowded and under-funded, and this problem is made worse by life sentences or delayed death sentences for murderers. Many of the costs of over-crowding of prisons are intangible, or they accrue to the prisoners themselves in jails and prisons who are unfairly harmed by the conditions.
pro_10_5	Why should taxpayers bear costs of supporting a murderer for a lifetime?	Why should taxpayers bear costs of supporting a murderer for a lifetime? Even if the costs of an execution are greater due to the appeal processes, there is a symbolic difficulty with taxpayers paying to fully support the ongoing life of a murderer.
con_10_1	Capital punishment costs more than life without parole	 Capital punishment costs more than life without parole Hugo Adam Bedau, Fletcher Professor of Philosophy at Tufts University and writing for the ACLU. "The Case Against the Death Penalty". 1992 - "Considerable delay in carrying out the death sentence is unavoidable, given the procedural safeguards required by the courts in capital cases. Starting with empaneling the trial jury, murder trials take far longer when the death penalty is involved. Post-conviction appeals in death-penalty cases are far more frequent as well. All these factors increase the time and cost of administering criminal justice. The sobering lesson is that we can reduce such delay and costs only by abandoning the procedural safeguards and constitutional rights of suspects, defendants, and convicts, with the attendant high risk of convicting the wrong person and executing the innocent."
con_10_2	Capital punishment wastes time and energy and burdens courts	 Capital punishment wastes time and energy and burdens courts Hugo Adam Bedau. "The Case Against The Death Penalty". American Civil Liberties Union. 1992 - "Capital punishment wastes resources. It squanders the time and energy of courts, prosecuting attorneys, defense counsel, juries, and courtroom and correctional personnel. It unduly burdens the system of criminal justice, and it is therefore counterproductive as an instrument for society's control of violent crime. It epitomizes the tragic inefficacy and brutality of the resort to violence rather than reason for the solution of difficult social problems."
con_10_3	Opponents of the death penalty are not to blame for the costs.	Opponents of the death penalty are not to blame for the costs. Capital cases cost more on average than housing a criminal for life because criminals are motivated to make frivolous appeals that delay their execution. Why should the taxpayer pay more per criminal when they could pay less?
con_10_4	There is no such thing as a frivolous appeal of the death penalty.	There is no such thing as a frivolous appeal of the death penalty. No criminal wants to die and any attempt to save a persons life can not be deemed frivolous, nor inappropriate simply on account of the costs. The mass amount of appeals created are to be blamed on the judicial system not the criminal.
headline_11	Pro-life: Is the pro-life, anti-abortionist consistent in supporting executions?
pro_11_1	The executed guilty cannot be equated with aborted unborn innocent	 The executed guilty cannot be equated with aborted unborn innocent Thomas R. Eddlem. "Ten anti-death penalty fallacies". The New American. June 3, 2002 - "A related fallacy is that the pro-lifer who defends the right to life of an unborn baby in the mother's womb, but who does not defend the right to life of a convicted murderer on death row, is being morally inconsistent. But there is no inconsistency here: The unborn baby is innocent; the convicted murderer is not. It is the proabortion/anti-death penalty liberal who is morally inconsistent, since he supports putting to death only the innocent.
con_11_1	Pro-life anti-abortionists inconsistently support the death penalty.	Pro-life anti-abortionists inconsistently support the death penalty. How can you be pro-life in one instance (abortion) and pro-death in another instance (death penalty)? This is a very common position of many conservatives, and is inconsistent. If life is too dignified to be taken in the case of abortion shouldn't it also be too dignified to take in the case of capital punishment? While pro death penalty advocates defend themselves by saying that murderers are guilty, not innocent, and forgo their right to life, there are reasons why this is a faulty argument. The problem is that they talk in the abortion debate about a fetus having a "right to life". If such a "right to life" exists, it must be a fundamental, inalienable right. Yet, pro-death penalty advocates argue that it is alienable or conditional upon whether a person commits certain crimes. This is wrong, a "right to life" can never be taken away, it is innate.
headline_12	Rehabilitation: Are retributive executions superior to notions of rehabilitation?
pro_12_1	Capital punishment is reserved for those beyond rehabilitation.	Capital punishment is reserved for those beyond rehabilitation. Some individuals are simply evil. They have no prospects for being rehabilitated. Their execution is a completely appropriate in this regard.
con_12_1	By executing criminals society rules out the possibility of rehabilitation and productivity	 By executing criminals society rules out the possibility of rehabilitation and productivity Killers may repent of their crime, serve a sentence as punishment, and emerge as a reformed and useful member of society. One of the most cited examples of this (provided on the argument page) is Tookie Williams, a reformed and socially productive former Cript murderer.
headline_13	International law: Is the death penalty legal under international law?
pro_13_1	Universal Declaration of Human Rights allows for death penalty	 Universal Declaration of Human Rights allows for death penalty Pro Death Penalty Webpage - "Abolitionists interpret from Article 3 in that [Universal Declaration of Human Rights] to proclaim each person's right to protection from deprivation of life, especially murderers! And they also point to Article 5, which states that no one shall be subjected to cruel or degrading punishment. From this, abolitinists self-righteously declare that the death penalty violates both of these rights. But in fact, nowhere in that declaration is the DP specifically condemned as a human rights violation!
con_13_1	United Nations opposes the death penalty	 United Nations opposes the death penalty Kofi Annan, Secretary General of the United Nations. - "The U.N. does not support death penalty. In all the courts we have set up (U.N. officials) have not included death penalty".[27]
con_13_2	The European Union opposes the death penalty	 The European Union opposes the death penalty Brian Cowen, Irish Minister for Foreign Affairs, Politics, 4/22/2004. - "Ireland along with our EU partners considers that the abolition of the death penalty contributes to the enhancement of human dignity and the progressive development of human rights. This position is rooted in our belief in the inherent dignity of all human beings and the inviolability of the human person. The European Union favours the universal abolition of capital punishment, and we work towards this goal in our relations with third countries."[28]
headline_14	US law: Is capital punishment justifiable under US law?
pro_14_1	5th amendment of US Constitution allows for executions	 5th amendment of US Constitution allows for executions It states: "No person shall be held to answer for a capital, or otherwise infamous crime, unless on a presentment or indictment of a Grand Jury, except in cases arising in the land or naval forces, or in the militia, when in actual service in time of War or public danger; nor shall any person be subject for the same offense to be twice put in jeopardy of life or limb; nor shall be compelled in any criminal case to be a witness against himself, nor be deprived of life, liberty, or property, without due process of law; nor shall private property be taken for public use, without just compensation."[29]
pro_14_2	US Founding Fathers approved of death penalty	 US Founding Fathers approved of death penalty Pro Death Penalty Webpage - "I would imagine that the Founding Fathers could not have conceived of a world or nation without capital punishment. Indeed, in those days, there was absolutely no question of the value of public safety and personal responsibility. Had they foreseen the rise in violent crime we have had in the 70s, 80s, and into the 90s, they might have declared the death penalty in the preamble!"
headline_15	Religion: What are the religious arguments in this debate?
pro_15_1	Capital punishment is supported by the Bible	 Capital punishment is supported by the Bible There are many passages in the Bible that provide direct support to capital punishment. Some of them are (see the argument page for more in-depth coverage):
pro_15_4	Thou shall not kill means thou shall not murder; executions okay	 "Thou shall not kill" means "thou shall not murder"; executions okay Robert Meyer, Renew America Columnist. "Why Capital Punishment is Pro-Life". Renew America. 20 Sept. 2004 - "The commandment, 'Thou shalt not kill,' has been a source of great confusion. Most modern translations of the Bible have corrected the Hebrew translation to English rendering, 'Thou shalt commit no murder." This is an important distinction in the context of the death penalty, as the death penalty cannot be described as "murder". Therefore, the Bible does not forbid the death penalty.
pro_15_5	The expression an eye for an eye is a prescription for proportional justice and capital punishment	 The expression an "eye for an eye" is a prescription for proportional justice and capital punishment Robert Meyer, Renew America Columnist, "Why Capital Punishment is Pro-Life", Renew America. 20 Sept. 2004 - "The term 'an eye for an eye' in the scriptures, is not a directive for authority to seek vigilante vengeance, nor necessarily a mandate to recompense a literal eye-for-eye. This statement represents the biblical principle of Lex Talionis, that is, the crime must be proportional with the punishment. Often times in biblical law, the victim had rights in determining the precise punishment, up to a limit."
pro_15_6	Gen. 9.6, He who sheds the blood of man, by man shall his blood be shed, helps justify capital punishment	 Gen. 9.6, "He who sheds the blood of man, by man shall his blood be shed", helps justify capital punishment Robert Meyer, Renew America Columnist, "Why Capital Punishment is Pro-Life", Renew America. 20 Sept. 2004 - "Since biblical times, the death penalty has been deemed as a just punishment for capital offenses. 'He who sheds the blood of man, by man shall his blood be shed,' (Gen.9:6). Notice that the scripture tells us that this is a duty delegated to mankind, not exclusively reserved for God. Specifically the state is delegated the duty of bearing the sword against the evil doer (Romans chapter13), as a derivative sovereign, until the final just judgement of God. There is no vigilantism or vengeance motive in the equation."
pro_15_7	Jesus' judge not does not apply to the death penalty	 Jesus' "judge not" does not apply to the death penalty
pro_15_8	The executed are not deprived of everything; they keep their souls.	The executed are not deprived of everything; they keep their souls. Capital punishment could only be the severest and most horrific punishment if it was able to deprive the executed of their souls and their after lives. But, it only deprives them of their bodies and lives on earth.
pro_15_9	Capital punishment best prepares an evil soul for the after life	 Capital punishment best prepares an evil soul for the after life Some argue that capital punishment is something like a spiritual medicine in the sense that it saves a man's soul from an evil life on earth. That is, capital punishment prevents a man from committing additional crimes and sins on earth, and so saves them from further damnation in the afterlife.
pro_15_10	Jesus called for the death penalty in some circumstances	 Jesus called for the death penalty in some circumstances
con_15_1	Religious arguments are irrelevant to the legality of Capital Punishment.	Religious arguments are irrelevant to the legality of Capital Punishment. The state cannot utilize religious arguments in interpreting the appropriateness of capital punishment. The separation of church and state prevents this. Therefore, while it may be interesting to consider these arguments, they should not be used one way or another in deciding the law.
con_15_2	Bible does not support the death penalty	 Bible does not support the death penalty
con_15_5	The Catholic Church has long opposed the death penalty	 The Catholic Church has long opposed the death penalty "A Culture of Life and the Death Penalty, A Statement of the United States Conference of Catholic Bishops Calling for an End to the Death Penalty". 2005. - While complex, the teaching of the Universal Church is clear. It has developed over time and has been taught most powerfully in the words and witness of Pope John Paul II. Catholic teaching on the death penalty is clearly articulated in the encyclical The Gospel of Life, the Catechism of the Catholic Church, and the Compendium of the Social Doctrine of the Church. In Catholic teaching the state has the recourse to impose the death penalty upon criminals convicted of heinous crimes if this ultimate sanction is the only available means to protect society from a grave threat to human life. However, this right should not be exercised when other ways are available to punish criminals and to protect society that are more respectful of human life (ie. life without parole).
con_15_6	Most Catholics now reject the death penalty	 Most Catholics now reject the death penalty Catholic New Service, 2004 - "Catholic support for the use of the death penalty has dropped significantly—from over 70% of Catholics in the late 1990s to now less than half (48%)." (2005 Zogby Poll[32])
con_15_7	Bible's an eye for an eye does not support death penalty	 Bible's "an eye for an eye" does not support death penalty The United Methodist Church. "In Opposition to Capital Punishment". 2004 - "In spite of a common assumption to the contrary, 'an eye for an eye and a tooth for a tooth,' does not give justification for the imposing of the penalty of death. Jesus explicitly repudiated retaliation (Matthew 5:38-39), and the Talmud denies its literal meaning and holds that it refers to financial indemnities. Christ came among us and suffered death. Christ also rose to new life for the sake of all. His suffering, death, and resurrection brought a new dimension to human life, the possibility of reconciliation with God through repentance. This gift is offered to all without exception, and human life was given new dignity and sacredness through it. The death penalty, however, denies Christ's power to transform and restore all human beings. In the New Testament, when a woman having committed a crime was brought before Jesus, He persisted in questioning her accusers, so that they walked away (John 8:1-11)."
